winery,country,region_1
Nicosia,Italy,Etna
Quinta dos Avidagos,Portugal,NA
Rainstorm,US,Willamette Valley
St. Julian,US,Lake Michigan Shore
Sweet Cheeks,US,Willamette Valley
Tandem,Spain,Navarra
Terre di Giurfo,Italy,Vittoria
Trimbach,France,Alsace
Heinz Eifel,Germany,NA
Jean-Baptiste Adam,France,Alsace
Kirkland Signature,US,Napa Valley
Leon Beyer,France,Alsace
Louis M. Martini,US,Alexander Valley
Masseria Setteporte,Italy,Etna
Mirassou,US,Central Coast
Richard Böcking,Germany,NA
Felix Lavaque,Argentina,Cafayate
Gaucho Andino,Argentina,Mendoza
Pradorey,Spain,Ribera del Duero
Quiévremont,US,Virginia
Acrobat,US,Oregon
Baglio di Pianetto,Italy,Sicilia
Bianchi,US,Paso Robles
Canicattì,Italy,Sicilia
Castello di Amorosa,US,Sonoma Coast
Stemmari,Italy,Terre Siciliane
Clarksburg Wine Company,US,Clarksburg
Domaine de la Madone,France,Beaujolais-Villages
Duca di Salaparuta,Italy,Sicilia
Envolve,US,Dry Creek Valley
Erath,US,McMinnville
Estampa,Chile,NA
Feudi del Pisciotto,Italy,Sicilia
Feudi di San Marzano,Italy,Puglia
Feudo di Santa Tresa,Italy,Sicilia
Feudo Montoni,Italy,Sicilia
Hawkins Cellars,US,Willamette Valley
Henry Fessy,France,Beaujolais
Robert Hall,US,Paso Robles
Sundance,Chile,NA
Tarara,US,Virginia
Tasca d'Almerita,Italy,Sicilia
The White Knight,US,Lake County
Trump,US,Monticello
Vignerons de Bel Air,France,Brouilly
Viticultori Associati Canicatti,Italy,Sicilia
Casa Silva,Chile,NA
Cantine di Dolianova,Italy,Monica di Sardegna
Château de Sours,France,Bordeaux Blanc
Corvo,Italy,Sicilia
RustRidge,US,Napa Valley
Souverain,US,North Coast
Tres Palacios,Chile,NA
Mellisoni,US,Columbia Valley (WA)
Okapi,US,Napa Valley
Podere dal Nespoli,Italy,Romagna
Ram,US,Columbia Valley (WA)
Roland Champion,France,Champagne
Sevtap,US,Santa Ynez Valley
Simonnet-Febvre,France,Chablis
Vignerons des Terres Secrètes,France,Mâcon-Milly Lamartine
Basel Cellars,US,Columbia Valley (WA)
Cocobon,US,California
Collet,France,Champagne
Drumheller,US,Columbia Valley (WA)
Eco Terreno,US,Alexander Valley
Grifalco,Italy,Aglianico del Vulture
Hindsight,US,Howell Mountain
Mulvane Wine Co.,US,Napa Valley
Schmitt Söhne,Germany,NA
Yalumba,Australia,South Australia
Z'IVO,US,Eola-Amity Hills
Adega Cooperativa do Cartaxo,Portugal,NA
Aresti,Chile,NA
Spyro,Spain,Rías Baixas
Lionel Osmin & Cie,France,Vin de France
Mitolo,Australia,McLaren Vale
Napa Cellars,US,Napa Valley
P.J. Valckenberg,Germany,NA
Palencia,US,Ancient Lakes
Passaggio,US,Knights Valley
Poggio Alloro,Italy,Vernaccia di San Gimignano
Fattoria Sardi,Italy,Toscana
Ferrari-Carano,US,Sonoma County
Folie à Deux,US,Sonoma Coast
Franciscan,US,Napa Valley
Fuchs,Austria,NA
Gård,US,Columbia Valley (WA)
Heron Hill,US,Finger Lakes
Serpaia di Endrizzi,Italy,Morellino di Scansano
Soquel Vineyards,US,Napa Valley
Ventosa,US,Finger Lakes
Lamoreaux Landing,US,Finger Lakes
Leyda,Chile,NA
Madonna Alta,Italy,Toscana
Marchesi Antinori,Italy,Toscana
Marchesi de' Frescobaldi,Italy,Toscana
Martin Ranch,US,Santa Clara Valley
Ornellaia,Italy,Toscana
Pardon et Fils,France,Brouilly
Piña,US,Yountville
Podere Ciona,Italy,Toscana
Poggioventoso,Italy,Toscana
Pull,US,Paso Robles
R2,US,Santa Ynez Valley
Rideau,US,Central Coast
Tenuta Forconi,Italy,Toscana
Dopff & Irion,France,Alsace
Ceretto,Italy,Barolo
Matrix,US,Alexander Valley
Mauritson,US,Rockpile
Henry's Drive Vignerons,Australia,Padthaway
Silverado,US,Napa Valley
Le Riche,South Africa,NA
Pierre Sparr,France,Alsace
Kuentz-Bas,France,Alsace
Camberley,South Africa,NA
Delheim,South Africa,NA
Poderi Luigi Einaudi,Italy,Barolo
Clark-Clauden,US,Napa Valley
Giacomo Ascheri,Italy,Barolo
Lassègue,France,Saint-Émilion
Beaumont,South Africa,NA
Poderi Colla,Italy,Barbera d'Alba
Banyan,US,Santa Lucia Highlands
Domaine Zind-Humbrecht,France,Alsace
Terra Valentine,US,Spring Mountain District
Testarossa,US,Santa Lucia Highlands
Vincent Vineyards,US,Santa Ynez Valley
Weingut Liebfrauenstift,Germany,NA
Wrath,US,Monterey
Yardstick,US,Napa Valley
Herdade Grande,Portugal,NA
Albatross Ridge,US,Carmel Valley
Alta Colina,US,Paso Robles
Marques de Griñon,Spain,Dominio de Valdepusa
Big Basin,US,Santa Cruz Mountains
Carl Graff,Germany,NA
Casa Santa Vitória,Portugal,NA
Castello di Gabbiano,Italy,Chianti Classico
Castello Romitorio,Italy,Brunello di Montalcino
Château Vincens,France,Cahors
Chronic Cellars,US,Paso Robles
Claiborne & Churchill,US,Edna Valley
Collin-Bourisset,France,Moulin-à-Vent
Conde de Velázquez,Chile,NA
Cono Sur,Chile,NA
Domaine Berthoumieu,France,Madiran
Dracaena,US,Paso Robles
Duckhorn,US,Napa Valley
Dutton-Goldfield,US,Russian River Valley
Fritz Haag,Germany,NA
G7,Chile,NA
Le Cadeau,US,Willamette Valley
Stoneleigh,New Zealand,NA
Tenuta Peter Sölva & Söhne,Italy,Alto Adige
TerraMater,Chile,NA
Isole e Olena,Italy,Chianti Classico
Kenwood,US,Sonoma Valley
La Chablisienne,France,Chablis
Manzoni,US,Santa Lucia Highlands
McIntyre Vineyards,US,Arroyo Seco
Abbadia Ardenga,Italy,Brunello di Montalcino
Alamos,Argentina,Salta
Anaba,US,Sonoma Coast
Apaltagua,Chile,NA
Harrington,US,Anderson Valley
Abbazia Santa Anastasia,Italy,Sicilia
Viña Bisquertt,Chile,NA
Emiliana,Chile,NA
Fattoria Alois,Italy,Campania
Aldegheri,Italy,Rosso del Veronese
Bertrand Ambroise,France,St.-Romain
Campomaggio,Italy,Chianti Classico
Carpineto,Italy,Vino Nobile di Montepulciano
Cesani,Italy,Vernaccia di San Gimignano
Spier,South Africa,NA
Sequum,US,Napa Valley
Sierra Starr,US,Nevada County
Tenuta di Sesta,Italy,Brunello di Montalcino
Terlan,Italy,Alto Adige
Yatir,Israel,NA
Adega Cooperativa de Borba,Portugal,NA
J. Lohr,US,Paso Robles
Courtney Benham,US,Napa Valley
Del Carlo Winery,US,Dry Creek Valley
Delaire Graff,South Africa,NA
Domaine St Pierre,France,Côtes du Rhône
Eikendal,South Africa,NA
Famille Perrin,France,Vacqueyras
Matarromera,Spain,Rueda
MCV,US,Paso Robles
Mounts,US,Dry Creek Valley
Or Haganuz,Israel,NA
Podere Scopetone,Italy,Brunello di Montalcino
Quinta de Foz de Arouce,Portugal,NA
Robert Mondavi,US,Napa Valley
Samuel Tinon,Hungary,NA
Sixteen by Twenty,US,Sonoma Coast
St. Pauls,Italy,Alto Adige
Talenti,Italy,Brunello di Montalcino
Mendel,Argentina,Luján de Cuyo
Oldenburg,South Africa,NA
Wagner,US,Finger Lakes
Treleaven,US,Cayuga Lake
Benessere,US,Napa Valley
Bloomer Creek,US,Finger Lakes
Andean Sky,Argentina,Mendoza
Angove's,Australia,South Australia
Silvan Ridge,US,Willamette Valley
Talamonti,Italy,Montepulciano d'Abruzzo
Meeker,US,Diamond Mountain District
Consorzio Vini Tipici di San Marino,Italy,San Marino
D'Arenberg,Australia,McLaren Vale
Dogwood,US,Mendocino
Domaine du Tariquet,France,Vin de Pays des Côtes de Gascogne
Falcor,US,Napa Valley
Hayman & Hill,US,Russian River Valley
Hermann J. Wiemer,US,Finger Lakes
J. & F. Lurton,Spain,Vino de la Tierra de Castilla y León
Finca Las Moras,Argentina,San Juan
Long Flat,Australia,Adelaide Hills
Work,US,Sonoma Mountain
Amity,US,Willamette Valley
Autumn Hill,US,Monticello
Blue Rock,US,Alexander Valley
Cherry Hill,US,Willamette Valley
Cloud 9,US,Amador County
Cueva de las Manos,Argentina,Luján de Cuyo
David Fulton,US,St. Helena
Esterlina,US,Cole Ranch
Goats do Roam Wine Co.,South Africa,NA
Graham Beck,South Africa,NA
Hartenberg,South Africa,NA
Vignobles 46N118,France,Cahors
Willamette Valley Vineyards,US,Willamette Valley
Algodon,Argentina,NA
Beaver Creek,US,Napa Valley
Byron,US,Santa Maria Valley
Jardin,South Africa,NA
Kaiken,Argentina,Mendoza
Lungarotti,Italy,Torgiano
Marchesi Fumanelli,Italy,Veneto
Mariell,Austria,NA
Livio Felluga,Italy,Colli Orientali del Friuli
My Big Fat Greek Wine,Greece,NA
Nals Margreid,Italy,Alto Adige
O. Fournier,Argentina,Uco Valley
Pico Maccario,Italy,Monferrato
Sottano,Argentina,Mendoza
St. Francis,US,Sonoma County
Trailhead,US,Napa Valley
Franz Haas,Italy,Alto Adige
Forstreiter,Austria,NA
Cambria,US,Santa Maria Valley
I Giusti e Zanza,Italy,Toscana
J. Christopher,US,Dundee Hills
Viña Cobos,Argentina,Perdriel
Salomon-Undhof,Austria,NA
Talley,US,Arroyo Grande Valley
Acústic,Spain,Montsant
Josef Schmid,Austria,NA
Parallel,US,Napa Valley
Château Lafon-Rochet,France,Saint-Estèphe
Dionigi,Italy,Sagrantino di Montefalco
Domaine Daniel Dugois,France,Arbois
Kilikanoon,Australia,Barossa Valley
Finca Sophenia,Argentina,Tupungato
Treana,US,Paso Robles
Ventisquero,Chile,NA
Aquinas,US,Napa Valley
Arboleda,Chile,NA
Attilio Ghisolfi,Italy,Langhe
Buried Cane,US,Columbia Valley (WA)
Cantina del Nebbiolo,Italy,Roero
Cascina Adelaide,Italy,Barolo
Cascina La Ghersa,Italy,Barbera d'Asti Superiore Nizza
