winery;country;region_1
nicosia;italy;etna
quinta dos avidagos;portugal;
rainstorm;us;willamette valley
st julian;us;lake michigan shore
sweet cheeks;us;willamette valley
tandem;spain;navarra
terre di giurfo;italy;vittoria
trimbach;france;alsace
heinz eifel;germany;
jean baptiste adam;france;alsace
kirkland signature;us;napa valley
leon beyer;france;alsace
louis m martini;us;alexander valley
masseria setteporte;italy;etna
mirassou;us;central coast
richard böcking;germany;
felix lavaque;argentina;cafayate
gaucho andino;argentina;mendoza
pradorey;spain;ribera del duero
quiévremont;us;virginia
acrobat;us;oregon
baglio di pianetto;italy;sicilia
bianchi;us;paso robles
canicattì;italy;sicilia
castello di amorosa;us;sonoma coast
stemmari;italy;terre siciliane
clarksburg wine company;us;clarksburg
domaine de la madone;france;beaujolais villages
erath;us;mcminnville
estampa;chile;
hawkins cellars;us;willamette valley
henry fessy;france;beaujolais
sundance;chile;
vignerons de bel air;france;brouilly
casa silva;chile;
château de sours;france;bordeaux blanc
souverain;us;north coast
tres palacios;chile;
mellisoni;us;columbia valley wa
okapi;us;napa valley
podere dal nespoli;italy;romagna
ram;us;columbia valley wa
roland champion;france;champagne
sevtap;us;santa ynez valley
simonnet febvre;france;chablis
vignerons des terres secrètes;france;mâcon milly lamartine
basel cellars;us;columbia valley wa
cocobon;us;california
collet;france;champagne
drumheller;us;columbia valley wa
eco terreno;us;alexander valley
grifalco;italy;aglianico del vulture
hindsight;us;howell mountain
mulvane wine co;us;napa valley
schmitt söhne;germany;
yalumba;australia;south australia
zivo;us;eola amity hills
adega cooperativa do cartaxo;portugal;
aresti;chile;
spyro;spain;rías baixas
lionel osmin  cie;france;vin de france
mitolo;australia;mclaren vale
napa cellars;us;napa valley
pj valckenberg;germany;
palencia;us;ancient lakes
passaggio;us;knights valley
poggio alloro;italy;vernaccia di san gimignano
fattoria sardi;italy;toscana
ferrari carano;us;sonoma county
folie à deux;us;sonoma coast
franciscan;us;napa valley
fuchs;austria;
gård;us;columbia valley wa
heron hill;us;finger lakes
serpaia di endrizzi;italy;morellino di scansano
soquel vineyards;us;napa valley
ventosa;us;finger lakes
lamoreaux landing;us;finger lakes
leyda;chile;
madonna alta;italy;toscana
marchesi antinori;italy;toscana
marchesi de frescobaldi;italy;toscana
martin ranch;us;santa clara valley
ornellaia;italy;toscana
pardon et fils;france;brouilly
piña;us;yountville
podere ciona;italy;toscana
poggioventoso;italy;toscana
pull;us;paso robles
r2;us;santa ynez valley
rideau;us;central coast
